Name,Latitude,Longitude,Gymnasium,Outdoor Basketball,Weight Room,Computer Lab,Game Room,Conference Room,Class Rooms,Art Room,Senior Meals,Regular Hours,Youth Programs,Adult Programs,Boxing Facility
Cesar Chavez Community Center,35.064991,-106.565422,Y,,Y,Y,Y,Y,,Y,Y,Mon-Thu 8a-8p; Fri 8a-6p; Sat 8a-3p,Y,Y,
Dennis Chavez Community Center,35.065849,-106.64077,Y,,Y,,Y,,,Y,,Mon-Fri 8a-6p,Y,Y,
Herman Sanchez Community Center,35.064331,-106.649193,Y,,Y,Y,Y,,,,,Mon-Thu 7a-7p; Fri 7a-6p,Y,Y,
Jack Candelaria Community Center,35.054749,-106.647522,Y,,,Y,Y,,,,,Mon-Thu 7:30a-7p; Fri 8a-5p,,,Y
Loma Linda Community Center & Therapeutic Recreation Program,35.063839,-106.621819,,,,,,,,,,Mon-Fri 8a-5p,Y,Y,
Singing Arrow Community Center,35.064499,-106.501762,,,,Y,Y,,,,,Mon-Fri 7a-6p,,,
Thomas Bell Community Center,35.053196,-106.63089,Y,,,Y,Y,,,,,Mon-Thu 7:30a-7p; Fri 7:30a-6p,Y,Y,
Whittier Center,35.06551,-106.588425,,Y,,Y,Y,,,,,Mon-Fri 7a-6p,Y,,
Holiday Park Community Center,35.123402,-106.50946,,,Y,Y,,,,,,Mon-Thu 7:30a-8p; Fri 7:30a-6p; Sat 9a-1p,Y,Y,
Jeanne Bellamah Center,35.092377,-106.519379,Y,,Y,Y,Y,,,Y,,Mon-Thu 8a-8p; Fri 8a-6p,Y,Y,
McKinley Community Center,35.122017,-106.592552,,,,,,,,,,Mon-Fri 7a-6p,Y,,
Mesa Verde Community Center,35.083561,-106.558571,Y,,Y,Y,Y,,Y,Y,,Mon-Thu 8a-8p; Fri 8a-6p,Y,Y,
Snow Park Center,35.102081,-106.537514,,,,Y,,,,Y,,Mon-Fri 1:30p-5:30p,Y,,
Alamosa Community Center,35.073032,-106.712585,Y,Y,Y,,,,,Y,,Mon-Thu 7a-8p; Fri 7a-7p; Sat 8a-12p,Y,Y,
Westgate Community Center,35.049751,-106.737915,,,,Y,Y,,Y,,,Mon-Fri 9a-6p,Y,,
Barelas Community Center,35.077522,-106.655663,Y,,Y,Y,,,,Y,,Mon-Thu 7:30a-7p; Fri 7:30a-6p,Y,Y,
Heights Community Center,35.073647,-106.624252,Y,,,Y,,Y,,Y,,Mon-Fri 9a-6p,Y,Y,
Wells Park Community Center,35.096081,-106.650757,Y,,,Y,Y,Y,,,,Mon-Thu 9a-8p; Fri 9a-6p,Y,Y,
Don Newton-Taylor Ranch Community Center,35.155781,-106.69529,Y,,,,,,,,Y,Mon-Fri 8a-9p; Sat 9a-3p,Y,Y,
Los Duranes Community Center,35.110176,-106.68013,Y,,Y,Y,Y,Y,Y,Y,Y,Mon-Thu 8a-8p; Fri 8a-6p; Sat 10a-2p,Y,Y,
Pat Hurley Center,35.089428,-106.69725,,,,,,,,,,Mon-Fri 12:30p-6p,Y,,
Valle del Norte Family Development Center,35.123325,-106.664383,,,Y,Y,,,,,,Mon-Fri 8a-5p,,,
West Mesa Community Center,35.097179,-106.701904,Y,,Y,Y,Y,Y,Y,Y,,Mon-Thu 7a-8p; Fri 7a-6p; Sat 8a-1p,Y,Y,